codigo;nombre;frecuencia;bloque;uso_analitico;tratamiento
PN01287PM;Índice de Precios al por Mayor;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01308PM;Inflación No Subyacente - Alimentos;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01309PM;Inflación No Subyacente - Combustibles;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01311PM;Inflación No Subyacente - Servicios Públicos;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01207PM;Interbancario - Promedio;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01216PM;Interbancario - Promedio;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PD04645PD;TC Cierre Compra - 01:30 PM (S/ por US$);Diaria;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;retorno_log
PD04646PD;TC Cierre Venta - 01:30 PM (S/ por US$);Diaria;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;retorno_log
PN01248PM;Promedio del Sistema Bancario - var% 12 meses;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PN01251PM;Bilateral;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN01253PM;Bilateral;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PN01259PM;Multilateral;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN01261PM;Multilateral;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PN01263PM;Brasil;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN01264PM;Chile;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN01265PM;Colombia;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN01652XM;Cobre - LME (¢US$ por libras);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01654XM;Oro - LME (US$ por onzas troy);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01657XM;Zinc - LME (¢US$ por libras);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01660XM;Petróleo - WTI (US$ por barriles);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01661XM;Trigo - EEUU (US$ por toneladas);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN01662XM;Maíz - EEUU (US$ por toneladas);Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;auto
PN38923BM;Términos de Intercambio;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;var_interanual
PN38926BM;Términos de Intercambio;Mensual;Tipo de cambio, TCR y commodities;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PN38714BM;Exportaciones;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38715BM;Exportaciones - Productos Tradicionales;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38716BM;Exportaciones - Productos no Tradicionales;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38718BM;Importaciones;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38719BM;Importaciones - Bienes de Consumo;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38720BM;Importaciones - Insumos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38721BM;Importaciones - Bienes de Capital;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38723BM;Balanza Comercial;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38738BM;Productos Tradicionales;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38741BM;Productos Tradicionales - Mineros;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38742BM;Productos Tradicionales - Petróleo y Gas Natural;Mensual;Sector externo y balanza de pagos;Captura choques externos de precios relevantes para exportaciones, costos importados, términos de intercambio e inflación.;var_interanual
PN38743BM;Productos no Tradicionales;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38744BM;Productos no Tradicionales - Agropecuarios;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38746BM;Productos no Tradicionales - Textiles;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38748BM;Productos no Tradicionales - Químicos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38751BM;Productos no Tradicionales - Metal - Mecánicos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38782BM;Mineros - Cobre;Mensual;Sector externo y balanza de pagos;Captura choques externos de precios relevantes para exportaciones, costos importados, términos de intercambio e inflación.;var_interanual
PN38791BM;Mineros - Oro;Mensual;Sector externo y balanza de pagos;Captura choques externos de precios relevantes para exportaciones, costos importados, términos de intercambio e inflación.;var_interanual
PN38800BM;Mineros - Zinc;Mensual;Sector externo y balanza de pagos;Captura choques externos de precios relevantes para exportaciones, costos importados, términos de intercambio e inflación.;var_interanual
PN38807BM;Petróleo y Gas Natural;Mensual;Sector externo y balanza de pagos;Captura choques externos de precios relevantes para exportaciones, costos importados, términos de intercambio e inflación.;var_interanual
PN38830BM;Agropecuarios;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38843BM;Textiles;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38855BM;Químicos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38868BM;Sidero-Metalúrgico y Joyería;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38878BM;Metal-Mecánicos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38891BM;Bienes de Consumo;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38894BM;Insumos;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38898BM;Bienes de Capital;Mensual;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;var_interanual
PN38975BQ;Balanza en Cuenta Corriente;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38979BQ;Balanza en Cuenta Corriente - Servicios;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38982BQ;Balanza en Cuenta Corriente - Ingreso Primario;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38987BQ;Cuenta Financiera;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN38999BQ;Resultado de Balanza de Pagos;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN39000BQ;Resultado de Balanza de Pagos - Variación del Saldo de RIN;Trimestral;Sector externo y balanza de pagos;Permite vigilar liquidez, intervención cambiaria, posición externa del BCRP y señales de presión monetaria diaria.;nivel
PN38985BQ;Balanza en Cuenta Corriente - Ingreso Secundario;Trimestral;Sector externo y balanza de pagos;Evalúa generación de divisas, vulnerabilidad externa, tracción exportadora y presión importadora de la demanda interna.;nivel
PN02204FM;Ingresos Corrientes del Gobierno General;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02205FM;Ingresos Corrientes del Gobierno General - Ingresos Tributarios;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02206FM;Ingresos Corrientes del Gobierno General - Ingresos No Tributarios;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02207FM;Gasto No Financiero del Gobierno General;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02208FM;Gasto No Financiero del Gobierno General - Corriente;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02209FM;Gasto No Financiero del Gobierno General - Capital;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02210FM;Gasto No Financiero del Gobierno General - Capital - Formación Bruta de Capital;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02211FM;Gasto No Financiero del Gobierno General - Capital - Formación Bruta de Capital - Gobierno Nacional;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02212FM;Gasto No Financiero del Gobierno General - Capital - Formación Bruta de Capital - Gobiernos Regionales;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02213FM;Gasto No Financiero del Gobierno General - Capital - Formación Bruta de Capital - Gobiernos Locales;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN02216FM;Resultado Primario;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN02217FM;Intereses;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN02218FM;Resultado Económico;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN02238FM;Resultado Económico;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN02247FM;Gastos Corrientes Totales;Mensual;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN03371FQ;Deuda Pública;Trimestral;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN03372FQ;Deuda Pública Externa;Trimestral;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN03381FQ;Deuda Pública Interna;Trimestral;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;var_interanual
PN03432FQ;Deuda Pública;Trimestral;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN03481FQ;Deuda Neta del Sector Público no Financiero;Trimestral;Sector público y deuda;Monitorea impulso fiscal, sostenibilidad de deuda, inversión pública y margen de maniobra del sector público.;nivel
PN00012MM;Activos Internos Netos - Crédito al Sector Privado (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00013MM;Activos Internos Netos - Crédito al Sector Privado - MN (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00014MM;Activos Internos Netos - Crédito al Sector Privado - ME (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00025MM;Coeficiente de Dolarización de la Liquidez (%);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN00178MM;Circulante (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00181MM;Dinero (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00187MM;Liquidez en Soles (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00190MM;Liquidez en Dólares (millones US$);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00193MM;Liquidez Total a Tipo de Cambio Corriente (millones S/);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN00195MM;Liquidez Total - a Tipo de Cambio Corriente;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PD04722MM;Tasa de Referencia de la Política Monetaria;Mensual;Monetario, crédito y sistema financiero;Mide la postura de política monetaria y su transmisión hacia tasas de mercado.;nivel
PD04692MD;Tasa interbancaria en soles diaria;Diaria;Monetario, crédito y sistema financiero;Sigue el canal monetario diario, liquidez bancaria, costo de fondeo y transmisión de la tasa de política.;nivel
PD04693MD;Tasa interbancaria en dólares diaria;Diaria;Monetario, crédito y sistema financiero;Sigue el canal monetario diario, liquidez bancaria, costo de fondeo y transmisión de la tasa de política.;nivel
PN00493MM;Tasa de Encaje;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN06502OM;CD BCRP - Total - Saldo;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
RD13715DM;Total (total);Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
RD14948DQ;Total (total);Trimestral;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;var_interanual
PN07728EM;Colocaciones - Tasa mensual de crecimiento (%) - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN07746EM;Cartera atrasada neta / Colocaciones netas (%) - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PN07800EM;Palanca global - Empresas Bancarias;Mensual;Monetario, crédito y sistema financiero;Sigue condiciones crediticias, liquidez, dolarización y fragilidad del sistema financiero.;nivel
PD12912AM;Expectativa de Inflación a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38048AM;Expectativa de PBI a 12 meses;Mensual;Expectativas y mercado laboral;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PD38049AM;Expectativa de TC a 12 meses;Mensual;Expectativas y mercado laboral;Sigue presiones cambiarias, pass-through inflacionario, competitividad y exposición financiera en moneda extranjera.;nivel
PD37981AM;Índice de expectativas de la economía a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38045AM;Índice de expectativas de la economía a 3 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD38047AM;Índice de expectativas de la demanda a 3 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PD39751AM;Índice de expectativas de demanda por sus productos a 12 meses;Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN31880GM;Puestos de trabajo del sector formal total (var.% 12 meses);Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN31882GM;Puestos de trabajo en el sector formal privado (var.% 12 meses);Mensual;Expectativas y mercado laboral;Anticipa decisiones empresariales y hogares mediante expectativas de inflación, actividad, tipo de cambio y demanda.;nivel
PN38063GM;Tasa de Desempleo (%);Mensual;Expectativas y mercado laboral;Mide holgura laboral urbana y presión sobre ingresos de los hogares.;nivel
PN38051GM;PEA ocupada en Lima Metropolitana;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38058GM;PEA ocupada en empresas de 1 a 10 trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38059GM;PEA ocupada en empresas de 11 a 50 trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PN38060GM;PEA ocupada en empresas de 51 y más trabajadores;Mensual;Expectativas y mercado laboral;Mide el empleo urbano y su distribución por tamaño de empresa, útil para evaluar consumo, ingresos laborales y fragilidad del mercado laboral.;var_interanual
PD04701XD;Cobre (Londres, cUS$ por libras);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04702XD;Plata (H.Harman, US$ por onzas troy);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04703XD;Zinc (Londres, cUS$ por libras);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04704XD;Oro (Londres, US$ por onzas troy);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
PD04705XD;Petróleo (West Texas Intermediate, US$ por barriles);Diaria;Cotizaciones internacionales diarias;Monitorea choques diarios de precios internacionales relevantes para exportaciones, costos importados y términos de intercambio.;retorno_log
